"title","X","sort","date","genre","genre.2","Genre.3","pilot","X1x01","int.ext.ratio","int.ext.weighted","int.percent","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"82","Black_Box_1x01_-_Kiss_the_Sky","  82","  92","2011","drama","","","n","y"," 3.3333333","4.409506e+00","0.7692308",1,0.78,0.83,0.78,0.68,1,0,0.53,0.08,0.44,0.5,0,1,0.47,0.92,0.56,0.5,1
"83","Black_Sails_1x01_-_Pilot","  83","  93","2011","action","drama","","y","y"," 1.7368421","1.750215e+00","0.6346154",1,0.81,0.62,0.56,0.67,1,1,0.14,0.88,0.83,0.75,0,0,0.86,0.12,0.17,0.25,1
"84","Black-ish_1x01_-_Pilot","  84","  94","2011","comedy","","","y","y"," 2.7500000","2.325397e+00","0.7333333",1,0.56,0.88,0.62,1,1,1,0.83,0.29,0.67,0.75,0,0,0.17,0.71,0.33,0.25,1
"85","Blue_Bloods_1x01_-_Pilot","  85","  95","2014","crime","drama","","y","y"," 1.9285714","2.356796e+00","0.6585366",1,0.75,0.5,0.73,0.67,1,1,0.2,0.57,0.5,0.44,0,0,0.8,0.43,0.5,0.56,0
"86","Body_of_Proof_1x01_-_Pilot","  86","  96","2013","crime","drama","","y","y"," 2.0000000","2.537155e+00","0.6666667",0,0.79,0.79,0.64,0.42,1,0,0.21,0.46,0.33,0.5,0,0,0.79,0.54,0.67,0.5,1
"87","Bonekickers_1x01","  87","  97","2013","action","drama","","n","y"," 1.8787879","2.058050e+00","0.6526316",0,0.5,0.71,0.67,0.74,1,0,0,0.33,0.06,0.91,1,0,1,0.67,0.94,0.09,0
"88","Bosch_1x01_-_Pilot","  88","  98","2013","drama","","","y","y"," 0.5000000","5.615177e-01","0.3333333",0,0.56,0.29,0.53,0.57,1,0,0.21,0.67,0.67,0.58,1,1,0.79,0.33,0.33,0.42,1
"89","Boss_1x01_-_Pilot","  89","  99","2013","crime","drama","","y","y"," 1.5625000","1.452571e+00","0.6097561",0,0.64,0.73,0.55,0.5,1,0,0.33,0.14,0.67,1,0,0,0.67,0.86,0.33,0,0
"90","Breaking_In_1x01_-_Pilot","  90"," 100","2013","comedy","crime","","y","y"," 2.5000000","2.012638e+00","0.7142857",1,1,0.86,0.57,0.43,0,0,0.25,0,0.25,0.2,0,1,0.75,1,0.75,0.8,1
"91","Breakout_Kings_1x01_-_Pilot","  91"," 101","2014","crime","drama","","y","y"," 2.7142857","4.011574e+00","0.7307692",1,0.65,0.7,0.86,0.68,1,0,0.31,0.53,0.61,0.36,0,1,0.69,0.47,0.39,0.64,1
"92","Broad_City_1x01_-_What_a_Wonderful_World","  92"," 102","2013","comedy","","","n","y"," 2.6250000","3.584337e+00","0.7241379",1,0.62,0.75,0.62,1,1,1,NA,0.67,0.57,1,1,0,NA,0.33,0.43,0,0
"93","Brooklyn_Nine-Nine_1x01_-_Pilot_(Jan_4_2013)","  93"," 103","2012","comedy","crime","","y","y"," 4.8000000","1.191244e+01","0.8275862",0,0.88,0.88,0.89,0.5,0,0,0.25,0.6,0,0,0,1,0.75,0.4,1,1,1
"94","Brooklyn_Nine-Nine_1x01_-_Pilot_(Mar_19_2013)","  94"," 104","2007","comedy","crime","","y","y"," 7.5000000","1.174065e+01","0.8823529",0,0.89,0.78,0.9,0.86,1,0,0,0.5,0,0,0,1,1,0.5,1,1,1
"95","Brooklyn_Nine-Nine_1x02_-_Tagger","  95"," 105","2007","comedy","crime","","n","n"," 9.0000000","1.401539e+01","0.9000000",1,1,0.88,1,0.71,0,0,0.14,0,0.25,0.33,0,1,0.86,1,0.75,0.67,1
"96","Brooklyn_Nine-Nine_1x04_-_M.E._Time","  96"," 106","2009","comedy","crime","","n","n","43.0000000","2.540000e+01","0.9772727",1,1,0.92,1,1,1,0,0,0.36,0.11,0,0,1,1,0.64,0.89,1,1
"97","Brooklyn_Nine-Nine_1x11_-_Christmas","  97"," 107","2009","comedy","crime","","n","n"," 3.2727273","2.329897e+00","0.7659574",0,1,0.92,0.83,0.27,1,0,0,0.64,0.8,0,0,0,1,0.36,0.2,1,1
"98","Brooklyn_Nine-Nine_1x13_-_The_Bet","  98"," 108","2013","comedy","crime","","n","n"," 3.5454545","4.269231e+00","0.7800000",1,1,0.77,0.69,0.58,1,0,0,0,0.29,0.14,0,0,1,1,0.71,0.86,1
"99","Browsers_1x01_-_Pilot","  99"," 110","2009","comedy","","","y","y"," 3.4000000","1.363590e+01","0.7727273",0,0.67,0.67,1,0.8,1,0,1,0.33,0,0,0,0,0,0.67,1,1,1
"100","Bunheads_1x01_-_Pilot"," 100"," 112","2007","comedy","drama","","y","y"," 2.0833333","4.804205e+00","0.6756757",0,0.45,0.8,0.8,0.57,0,0,0.75,1,0.62,0.2,0,0,0.25,0,0.38,0.8,1
"101","Californication_1x01_-_Pilot"," 101"," 113","2008","comedy","drama","","y","y"," 1.4545455","3.093653e+00","0.5925926",0,0.5,0.62,0.62,0.5,1,0,0,0.2,0.67,1,1,0,1,0.8,0.33,0,0
"102","Californication_1x02_-_Hell-A_Woman"," 102"," 114","2009","comedy","drama","","n","n"," 2.0000000","1.105503e+00","0.6666667",0,0.67,0.6,0.8,0.5,0,0,0,0.17,0.29,0,0,0,1,0.83,0.71,1,1
"103","Californication_3x05_-_Slow_Happy_Boys"," 103"," 115","2009","comedy","drama","","n","n"," 4.6666667","5.874126e+00","0.8235294",1,0.8,0.8,0.75,1,1,0,0.75,1,0.67,0,0,0,0.25,0,0.33,1,0
