"title","X","sort","date","genre","genre.2","genre.3","int.ext.ratio","int.ext.weighted","int.percent","int.weight.ratio","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"78","Avengers,-The-(2012)"," 78","  99","2012","sci-fi","adventure","action"," 1.08888889"," 0.67962948","0.52127660","0.6241495",0,0.69,0.69,0.43,0.27,1,0,0.25,0,0.8,0.54,0,0,0.75,1,0.2,0.46,0
"79","Awakenings"," 79"," 102","1990","drama","drama",""," 4.96000000"," 3.14912837","0.83221477","0.6349049",1,0.76,0.89,0.82,0.84,1,1,0.33,0.27,0.12,0.23,0,0,0.67,0.73,0.88,0.77,0
"80","Babel"," 80"," 103","2006","drama","",""," 0.65000000"," 0.36895612","0.39393939","0.5676248",0,0.48,0.38,0.32,0.4,1,1,0.57,0.77,0.67,0.62,0,1,0.43,0.23,0.33,0.38,0
"81","Back-up-Plan,-The"," 81"," 106","2010","comedy","drama",""," 2.88235294"," 1.40263450","0.74242424","0.4866283",1,0.76,0.73,0.76,0.73,1,0,0.62,0.58,0.88,0.55,0,0,0.38,0.42,0.12,0.45,0
"82","Backdraft"," 82"," 107","1991","action","crime","drama"," 1.26190476"," 0.77835864","0.55789474","0.6168125",1,0.42,0.56,0.71,0.53,1,0,0.29,0.41,0.27,0.38,0,1,0.71,0.59,0.73,0.62,0
"83","Bad-Boys"," 83"," 108","1995","action","comedy","crime"," 1.58095238"," 1.01200411","0.61254613","0.6401231",0,0.6,0.74,0.59,0.53,0,0,0.56,0.72,0.73,0.33,1,0,0.44,0.28,0.27,0.67,0
"84","Bad-Country"," 84"," 109","2014","action","crime","drama"," 1.89189189"," 1.17931510","0.65420561","0.6233523",1,0.78,0.5,0.65,0.69,1,1,0.31,0.46,0.38,0.76,0,0,0.69,0.54,0.62,0.24,0
"85","Bad-Dreams"," 85"," 111","1988","horror","action",""," 4.78260870"," 2.61308981","0.82706767","0.5463733",0,0.77,0.91,0.97,0.62,0,0,0.47,0.75,0.25,0.56,1,0,0.53,0.25,0.75,0.44,0
"86","Bad-Santa"," 86"," 113","2003","comedy","crime","drama"," 3.06666667"," 1.81441042","0.75409836","0.5916556",0,0.74,0.71,0.74,0.8,0,0,0.28,0.58,0.52,0.12,1,1,0.72,0.42,0.48,0.88,0
"87","Bad-Teacher"," 87"," 114","2011","comedy","",""," 3.06250000"," 1.61310605","0.75384615","0.5267285",0,0.76,0.88,0.77,0.55,1,0,0.38,0.26,0.09,0.26,0,1,0.62,0.74,0.91,0.74,1
"88","Bamboozled"," 88"," 116","2000","comedy","drama","music"," 4.21052632"," 2.55214857","0.80808081","0.6061353",1,0.73,0.8,0.82,0.83,0,1,0.5,0.69,0.46,0.34,0,0,0.5,0.31,0.54,0.66,1
"89","Basic"," 89"," 120","2003","action","crime","drama"," 1.89361702"," 1.01932647","0.65441176","0.5382960",1,0.62,0.74,0.53,0.74,1,0,0.17,0.16,0,0.44,0,0,0.83,0.84,1,0.56,0
"90","Basic-Instinct"," 90"," 119","1992","fantasy","drama","action"," 3.02941176"," 1.61547406","0.75182482","0.5332633",1,0.86,0.78,0.57,0.78,1,1,0.39,0.67,0.58,0.75,1,0,0.61,0.33,0.42,0.25,0
"91","Basquiat"," 91"," 121","1996","drama","drama",""," 1.34210526"," 0.99363585","0.57303371","0.7403561",1,0.48,0.73,0.62,0.41,0,0,0.2,1,0.22,0.62,0,1,0.8,0,0.78,0.38,0
"92","Batman"," 92"," 123","1989","action","adventure",""," 1.60000000"," 0.90419078","0.61538462","0.5651192",0,0.68,0.66,0.65,0.48,1,0,0.5,0.33,0.68,0.73,1,0,0.5,0.67,0.32,0.27,0
"93","Batman-2"," 93"," 122","1992","action","",""," 1.98795181"," 1.10999944","0.66532258","0.5583634",0,0.56,0.53,0.67,0.92,1,0,0.39,0.14,0.59,0.93,0,0,0.61,0.86,0.41,0.07,0
"94","Battle-Los-Angeles"," 94"," 124","2011","sci-fi","action",""," 0.94736842"," 0.50592213","0.48648649","0.5340289",0,0.61,0.47,0.34,0.56,1,0,0.5,0.33,0,0.3,0,0,0.5,0.67,1,0.7,0
